,school,district,county,snr_enroll,sat_snr_testers,sat_num_erw_bm,sat_pct_erw_bm,sat_num_math_bm,sat_pct_math_bm,sat_num_both_bm,sat_pct_both_bm,act_testers,act_avg_read_scr,act_avg_eng_scr,act_avg_math_scr,act_avg_sci_scr,num_act_benchmark,pct_act_benchmark,sat_pct_participation,act_pct_participation
0,Oakland Unity High,Oakland Unified,Alameda,81.0,35.0,18.0,51.43,15.0,42.86,14.0,40.0,53.0,17.0,15.0,19.0,18.0,12.0,22.64,43.20987654320987,65.4320987654321
1,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,166.0,112.0,67.47,50.0,30.12,46.0,27.71,52.0,20.0,18.0,19.0,19.0,21.0,40.38,24.850299401197603,7.784431137724551
2,Golden Valley High,Kern High,Kern,580.0,173.0,84.0,48.55,49.0,28.32,43.0,24.86,22.0,21.0,18.0,19.0,20.0,8.0,36.36,29.82758620689655,3.793103448275862
3,Desert Mirage High,Coachella Valley Unified,Riverside,459.0,125.0,57.0,45.6,23.0,18.4,21.0,16.8,97.0,17.0,16.0,17.0,17.0,12.0,12.37,27.233115468409586,21.13289760348584
4,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,112.0,64.0,55.0,85.94,42.0,65.63,41.0,64.06,112.0,20.0,20.0,21.0,19.0,49.0,43.75,57.14285714285714,100.0
5,Vista Murrieta High,Murrieta Valley Unified,Riverside,884.0,382.0,308.0,80.63,210.0,54.97,197.0,51.57,165.0,24.0,22.0,23.0,22.0,111.0,67.27,43.21266968325792,18.665158371040725
6,Cesar E. Chavez High,Delano Joint Union High,Kern,316.0,128.0,75.0,58.59,56.0,43.75,52.0,40.63,30.0,22.0,21.0,22.0,21.0,20.0,66.67,40.50632911392405,9.49367088607595
7,"Lennox Mathematics, Science and Technology Academy",Lennox,Los Angeles,143.0,144.0,84.0,58.33,56.0,38.89,54.0,37.5,105.0,18.0,17.0,19.0,18.0,27.0,25.71,100.69930069930071,73.42657342657343
8,High Tech LA,Los Angeles Unified,Los Angeles,90.0,63.0,56.0,88.89,45.0,71.43,42.0,66.67,15.0,20.0,21.0,21.0,20.0,6.0,40.0,70.0,16.666666666666664
12,Central City Value,Los Angeles Unified,Los Angeles,105.0,83.0,28.0,33.73,11.0,13.25,10.0,12.05,15.0,21.0,21.0,19.0,20.0,8.0,53.33,79.04761904761905,14.285714285714285
13,Pioneer High,Woodland Joint Unified,Yolo,350.0,125.0,91.0,72.8,57.0,45.6,52.0,41.6,80.0,20.0,19.0,20.0,21.0,31.0,38.75,35.714285714285715,22.857142857142858
15,ICEF View Park Preparatory High,Los Angeles Unified,Los Angeles,120.0,73.0,27.0,36.99,7.0,9.59,6.0,8.22,21.0,18.0,17.0,16.0,16.0,3.0,14.29,60.83333333333333,17.5
16,Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,149.0,100.0,46.0,46.0,29.0,29.0,23.0,23.0,148.0,17.0,15.0,17.0,16.0,18.0,12.16,67.11409395973155,99.32885906040269
22,Roseland Charter,Roseland,Sonoma,147.0,49.0,26.0,53.06,17.0,34.69,16.0,32.65,89.0,17.0,16.0,18.0,18.0,20.0,22.47,33.33333333333333,60.544217687074834
23,Aspire Benjamin Holt College Preparatory Academy,Lodi Unified,San Joaquin,94.0,74.0,63.0,85.14,44.0,59.46,44.0,59.46,98.0,21.0,20.0,20.0,20.0,51.0,52.04,78.72340425531915,104.25531914893618
24,Rosemont High,Sacramento City Unified,Sacramento,300.0,67.0,50.0,74.63,38.0,56.72,37.0,55.22,32.0,21.0,19.0,20.0,20.0,15.0,46.88,22.333333333333332,10.666666666666668
25,Sacramento Charter High,Sacramento City Unified,Sacramento,151.0,85.0,32.0,37.65,16.0,18.82,13.0,15.29,144.0,17.0,16.0,17.0,17.0,25.0,17.36,56.29139072847682,95.36423841059603
26,Inderkum High,Natomas Unified,Sacramento,471.0,221.0,159.0,71.95,86.0,38.91,81.0,36.65,463.0,18.0,16.0,18.0,17.0,110.0,23.76,46.92144373673036,98.30148619957538
27,Pioneer Valley High,Santa Maria Joint Union High,Santa Barbara,587.0,143.0,95.0,66.43,59.0,41.26,56.0,39.16,92.0,20.0,19.0,21.0,19.0,39.0,42.39,24.361158432708688,15.67291311754685
28,Ann Sobrato High,Morgan Hill Unified,Santa Clara,292.0,163.0,141.0,86.5,121.0,74.23,114.0,69.94,83.0,25.0,24.0,25.0,24.0,69.0,83.13,55.821917808219176,28.424657534246577
31,Golden Valley High,William S. Hart Union High,Los Angeles,479.0,175.0,137.0,78.29,93.0,53.14,88.0,50.29,53.0,25.0,23.0,21.0,23.0,37.0,69.81,36.53444676409186,11.064718162839249
32,West Ranch High,William S. Hart Union High,Los Angeles,655.0,293.0,277.0,94.54,240.0,81.91,238.0,81.23,182.0,27.0,27.0,26.0,26.0,156.0,85.71,44.732824427480914,27.78625954198473
33,New Designs Charter,Los Angeles Unified,Los Angeles,86.0,67.0,35.0,52.24,15.0,22.39,12.0,17.91,68.0,17.0,16.0,18.0,17.0,7.0,10.29,77.90697674418605,79.06976744186046
34,Wilmer Amina Carter High,Rialto Unified,San Bernardino,583.0,173.0,96.0,55.49,52.0,30.06,44.0,25.43,34.0,18.0,18.0,18.0,18.0,10.0,29.41,29.674099485420243,5.831903945111493
35,Arnold O. Beckman High,Tustin Unified,Orange,760.0,258.0,239.0,92.64,212.0,82.17,207.0,80.23,225.0,28.0,29.0,28.0,27.0,206.0,91.56,33.94736842105263,29.605263157894733
36,Middle College High,Los Angeles Unified,Los Angeles,88.0,66.0,44.0,66.67,19.0,28.79,17.0,25.76,26.0,19.0,19.0,19.0,18.0,8.0,30.77,75.0,29.545454545454547
37,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,118.0,97.0,86.0,88.66,63.0,64.95,62.0,63.92,24.0,25.0,25.0,23.0,22.0,19.0,79.17,82.20338983050848,20.33898305084746
38,Mission Hills High,San Marcos Unified,San Diego,584.0,223.0,176.0,78.92,110.0,49.33,107.0,47.98,178.0,23.0,21.0,21.0,22.0,93.0,52.25,38.18493150684932,30.47945205479452
39,Great Oak High,Temecula Valley Unified,Riverside,756.0,349.0,313.0,89.68,245.0,70.2,235.0,67.34,214.0,24.0,24.0,23.0,23.0,157.0,73.36,46.164021164021165,28.306878306878307
40,Pajaro Valley High,Pajaro Valley Unified,Santa Cruz,294.0,73.0,34.0,46.58,13.0,17.81,11.0,15.07,71.0,18.0,16.0,17.0,18.0,12.0,16.9,24.829931972789115,24.149659863945576
41,Monterey Trail High,Elk Grove Unified,Sacramento,583.0,245.0,175.0,71.43,111.0,45.31,99.0,40.41,117.0,21.0,20.0,21.0,21.0,56.0,47.86,42.02401372212693,20.06861063464837
42,University Preparatory,Shasta Union High,Shasta,127.0,72.0,68.0,94.44,63.0,87.5,61.0,84.72,24.0,28.0,27.0,27.0,27.0,21.0,87.5,56.69291338582677,18.89763779527559
43,Canyon Crest Academy,San Dieguito Union High,San Diego,635.0,156.0,154.0,98.72,144.0,92.31,143.0,91.67,409.0,30.0,31.0,30.0,29.0,392.0,95.84,24.566929133858267,64.40944881889764
46,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,86.0,70.0,23.0,32.86,4.0,5.71,3.0,4.29,34.0,17.0,16.0,15.0,15.0,4.0,11.76,81.3953488372093,39.53488372093023
47,Nova Academy Early College High,Santa Ana Unified,Orange,98.0,45.0,24.0,53.33,8.0,17.78,6.0,13.33,42.0,19.0,17.0,18.0,19.0,11.0,26.19,45.91836734693878,42.857142857142854
49,High Tech High International,San Diego Unified,San Diego,98.0,77.0,58.0,75.32,38.0,49.35,37.0,48.05,22.0,22.0,21.0,20.0,19.0,10.0,45.45,78.57142857142857,22.448979591836736
50,California Connections Academy Southern California,Capistrano Unified,Orange,618.0,76.0,57.0,75.0,42.0,55.26,42.0,55.26,30.0,25.0,25.0,23.0,24.0,23.0,76.67,12.297734627831716,4.854368932038835
